procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 13 752308 277840 154640 5328836    0    0 11536 10327 5037 22552  3  3 60 34  0
 2 14 752304 274912 154648 5329792    0    0 11360  9596 5266 20805  3  2 62 33  0
 0 14 752304 274828 154648 5330728    0    0 11328  9646 4945 21351  3  2 60 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 752304 274296 154656 5331772    0    0 11504  9998 4862 21924  3  2 62 33  0
 1 15 752300 272216 154656 5332668    0    0 11648  9278 5039 22385  3  3 59 35  0
 1 17 752296 272476 154656 5333560    0    0 11808  9524 5118 22363  3  2 61 35  0
 0 17 752296 270368 154664 5334428    0    0 11536  9317 5119 21636  3  3 62 32  0
 0 15 752296 270548 154664 5335356    0    0 11968  9421 4820 21543  3  2 61 35  0
 0 16 752292 270164 154664 5336380    0    0 11936  9211 4957 21748  3  3 57 37  0
 3 14 752292 269812 154664 5337176    0    0 10928  9204 4845 20766  3  3 60 34  0
 1 17 752288 270072 154664 5338152    0    0 11104  9426 4782 22122  3  3 59 35  0
 2 16 752284 269328 154672 5338804    0    0 11936  9906 5072 23296  3  3 60 34  0
 2 14 752276 267820 154672 5339908    0    0 11088  9096 4563 20705  3  3 59 35  0
 2 15 752272 265916 154672 5340996    0    0 11840  9685 4943 23303  3  2 60 35  0
 1 16 752272 266208 154672 5341864    0    0 11904  9497 5201 22083  4  2 60 34  0
 2 16 752272 264528 154672 5342996    0    0 11440  9548 5117 22735  3  3 57 38  0
 0 17 752272 263868 154680 5343848    0    0 11552  9513 4485 21992  3  2 62 33  0
 1 17 752272 262720 154680 5344832    0    0 11648  9249 4766 21869  3  3 60 35  0
 2 16 752288 301672 154636 5303956    0   16 11568  9596 5062 22876  3  2 60 36  0
 2 16 752288 301360 154636 5304012    0    0 11136  9330 5457 21868  3  3 58 36  0
 2 15 752288 300640 154636 5304884    0    0 11856  9707 5560 22743  3  3 60 34  0
 3 16 752284 299168 154644 5305804    0    0 11920  9628 5510 23080  3  2 63 32  0
 0 16 752284 298192 154644 5306756    0    0 11024  9349 4817 21680  3  2 61 35  0
 1 16 752276 296016 154644 5307632    0    0 10800  9209 5168 21485  3  3 60 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 752276 296280 154644 5308548    0    0 11024  9355 4722 21498  3  2 64 32  0
