procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 822504 272244 141920 5448644   44    0  9852 20657 4571 16462  2  1 62 34  0
 1 15 822464 271052 141928 5448576   56    0  9800 20701 5876 16287  2  1 63 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 822432 271820 141928 5448636   56    0  9224 21199 6114 16063  2  1 69 28  0
 2 14 822408 270924 141928 5448656   24    0  9320 20911 5765 16019  2  1 67 30  0
 0 16 822360 272004 141928 5448544   44    0  9804 20786 5293 17393  2  1 67 30  0
 1 15 822328 271864 141928 5448568   24    0  9992 20635 5640 17652  3  1 64 32  0
 1 15 822320 271016 141936 5448596   40    0  8648 20850 5013 17223  2  1 59 37  0
 0 16 822304 272008 141936 5448660   16    0  8720 20937 4246 15531  2  1 61 36  0
 0 16 822280 270972 141936 5448708   32    0 10496 21081 4501 18287  2  1 63 34  0
 3 13 822268 271000 141936 5448816   24    0  9352 20901 5218 16546  2  1 64 33  0
 0 16 822256 270880 141936 5448864   16    0  9296 20801 4376 17010  2  1 68 29  0
 2 14 822228 271896 141944 5448904   44    0  9788 20602 5576 17133  2  1 67 30  0
 1 15 822192 271908 141944 5448944   68    0 10420 20818 4432 18747  2  1 70 27  0
 0 16 822172 271284 141944 5449040   28    0 10140 21175 5541 17406  2  1 62 34  0
 1 15 822152 271580 141944 5449020   52    0  9796 20625 5497 17008  2  1 64 33  0
 0 16 822144 270464 141944 5449088    8    0  9896 20938 5514 17067  2  1 68 29  0
 0 16 822124 270152 141952 5449104   40    0  9288 20923 4541 16463  2  1 65 32  0
 2 16 822112 270160 141952 5449132   20    0  7908 20997 5214 15015  2  1 64 33  0
 1 15 822076 270364 141952 5449092   48    0 10688 21180 5565 19020  3  1 63 34  0
 2 15 822052 271592 141952 5449168   36    0  9652 20855 5520 16566  2  1 58 39  0
 2 14 822032 270820 141952 5449188   16    0  9312 20597 5131 15900  2  1 62 35  0
 0 16 822020 269476 141960 5449196   48    0  9568 20914 5013 16706  2  1 66 31  0
 0 16 821996 270772 141960 5449252   48    0  9712 21130 6366 17599  2  1 67 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 821956 270340 141960 5449364   24    0  9176 21116 5987 15989  2  1 65 32  0
 1 15 821916 270712 141960 5449364   64    0  9200 21007 5526 16605  2  1 68 29  0
 0 16 821896 270260 141960 5449348    8    0  8600 20758 5470 15989  2  1 65 32  0
 1 15 821876 271632 141968 5449384   24    0  9512 20898 5507 17136  2  1 65 32  0
 1 15 821856 270924 141968 5449432   36    0  9636 21226 5523 17300  2  1 62 35  0
 1 15 821828 270012 141968 5449476   36    0  9444 20853 5306 17145  2  1 63 33  0
 1 15 821812 270168 141968 5449536   40    0  9336 20912 5211 16093  2  1 66 31  0
 0 16 821780 270352 141968 5449528   52    0  8596 20666 5501 15994  2  1 61 36  0
 0 16 821760 269476 141976 5449584   24    0  7336 20500 5424 13493  2  1 58 40  0
 1 16 821744 269844 141976 5449648   16    0  6832 21284 5217 12970  2  1 61 36  0
 0 16 821712 268924 141976 5449632   80    0  9024 20818 5018 15491  2  1 67 30  0
 0 16 821676 270420 141976 5449668   40    0 10104 20743 5207 16940  3  1 64 33  0
 1 16 821648 270704 141976 5449724   48    0  8960 21033 5107 17217  2  1 63 34  0
 1 15 821620 269340 141984 5449792   16    0  9072 20409 4742 16372  2  1 64 33  0
 2 15 821580 269808 141984 5449824   40    0  9688 21157 6018 17384  2  1 63 34  0
 1 15 821540 270392 141984 5449920   72    0  9896 20558 4520 17393  2  1 60 37  0
 3 14 821536 271948 141984 5449956   28    0 10684 21040 5644 19378  3  1 57 40  0
 3 14 821480 269476 141984 5450044   48    0  9968 20853 5694 17888  2  1 62 34  0
 0 16 821452 272472 141992 5450068   64    0  7472 20558 4833 13890  2  1 59 38  0
 3 14 821412 268764 141992 5450116   36    0  9140 21161 6283 16729  2  1 62 35  0
 0 16 821396 267916 141992 5450132   44    0 10700 20984 5469 17421  2  1 56 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 821372 269648 141992 5450160   40    0  8904 20973 5319 15415  2  1 54 43  0
 2 15 821364 271112 141992 5450184   28    0  9228 20532 4922 16083  2  1 59 38  0
 0 16 821352 268372 142000 5450236   12    0  9756 20604 5074 17656  2  1 55 41  0
 0 16 821348 268432 142000 5450272   20    0  9412 21519 6578 17385  2  1 60 37  0
 2 14 821316 268152 142000 5450300   40    0  9672 20826 6066 17370  2  1 61 36  0
 0 16 821308 268248 142000 5450320   44    0  9500 20942 5282 16105  2  1 58 39  0
 1 15 821280 268116 142000 5450380   52    0  8724 20721 5466 15710  2  1 54 43  0
 1 16 821256 268624 142008 5450408   36    0  9956 20940 5887 18321  3  1 53 44  0
 1 15 821232 268136 142008 5450392   32    0  8384 21177 6412 16063  3  1 55 42  0
 0 16 821212 268740 142008 5450412   40    0  9064 20711 4313 16164  2  1 58 39  0
 1 15 821184 267920 142008 5450468   52    0  9940 21150 6021 17119  2  1 56 41  0
