procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 19  76428 1987940 240980 2068692    0    0 15152     0 5673 29704  2  1 55 41  0
 0 18  76428 1967380 240988 2069188    0    0 61692    58 7094 43455  2  2 57 39  0
 0 21  76428 1971780 240988 2067748    0    0 10016     0 3589 18868  2  2 53 43  0
 1 20  76428 1976236 240988 2067988    0    0 14908     0 4826 25897  1  1 55 42  0
 2 16  76428 1974840 240988 2068760    0    0 16380     0 5489 29859  2  1 55 42  0
 0 19  76428 1976508 240988 2069584    0    0 14944     0 5171 28686  2  2 56 41  0
 1 17  76428 1961500 240992 2070352    0    0 70508    30 7679 44388  2  3 58 36  0
 0 21  76428 1968204 240992 2068388    0    0 10796     0 3510 18843  2  2 54 43  0
 0 20  76428 1966024 240992 2069180    0    0 12292     0 4187 21807  1  1 62 36  0
 1 18  76428 1965336 240992 2070060    0    0 15296     0 5342 27419  2  1 59 38  0
 1 17  76428 1964044 240992 2070984    0    0 15556     0 5699 29919  2  1 59 38  0
 0 18  76428 1955064 240992 2070312    0    0 73932    24 7931 45596  2  3 57 38  0
 1 18  76428 1960888 240992 2068188    0    0 10720     0 3773 20986  2  1 56 41  0
 0 20  76428 1961796 240992 2068860    0    0 16244     0 5401 29199  2  1 53 44  0
 2 18  76428 1961544 240992 2069668    0    0 14400     0 4880 26910  2  2 52 45  0
 2 16  76428 1960100 240992 2070492    0    0 14732     0 4797 27343  2  1 52 45  0
 1 17  76428 1956836 240992 2070784    0    0 79624    24 8742 49137  2  3 56 39  0
 1 17  76428 1961076 240992 2068136    0    0 10380     0 4149 19932  2  3 56 39  0
 3 16  76428 1959180 240992 2069200    0    0 13040     0 4680 23780  3  4 58 35  0
 1 20  76428 1957328 240992 2070228    0    0 15516     0 4998 26613  2  2 57 39  0
 0 20  76428 1956960 240992 2071492    0    0 16628     0 5396 27588  2  1 57 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 18  76428 1952472 240996 2071520    0    0 83348    24 7438 47995  2  2 57 39  0
 0 18  76428 1955600 240996 2068636    0    0 11436     0 3442 18665  1  1 52 45  0
 1 18  76428 1957552 240996 2069796    0    0 15004     0 5207 27371  2  2 59 36  0
 2 18  76428 1959000 240996 2070668    0    0 13264     0 4538 23338  2  4 60 33  0
 1 21  76428 1958672 240996 2071688    0    0 16944     0 5491 28616  2  1 58 39  0
 2 16  76428 1952484 240996 2071160    0    0 85660   330 8802 50323  2  3 52 43  0
 0 19  76428 1957136 240996 2068664    0    0 11120     0 3462 18199  1  1 52 46  0
 0 18  76428 1954368 240996 2069548    0    0 14104     0 4656 25023  2  1 57 40  0
 2 19  76428 1953420 240996 2070548    0    0 17532     0 6055 32716  2  1 58 39  0
 1 18  76428 1955152 240996 2071676    0    0 15776     0 5074 28413  2  1 54 43  0
 0 19  76428 1945288 241000 2071684    0    0 85064    50 8514 50891  2  3 53 42  0
 2 16  76428 1953620 241000 2068560    0    0 10580     0 3901 19359  1  1 59 39  0
 1 18  76428 1952876 241000 2069528    0    0 12772     0 4084 22994  1  1 57 41  0
 0 21  76428 1952648 241000 2070560    0    0 14952     0 5206 26892  2  1 54 43  0
 2 19  76428 1953104 241000 2071340    0    0 16160     0 5466 28573  2  1 55 42  0
 0 19  76428 1947196 241000 2070788    0    0 81644    42 8566 49535  2  2 50 46  0
 2 16  76428 1953648 241000 2068224    0    0 10796     0 3604 19087  1  1 48 50  0
 1 21  76428 1952388 241000 2069132    0    0 12912     0 4253 24080  2  1 53 44  0
 2 19  76428 1955540 241000 2069828    0    0 15352     0 5627 27561  2  1 57 40  0
 1 19  76428 1952796 241000 2070612    0    0 14412     0 5090 26903  2  1 55 42  0
 0 18  76428 1954916 241008 2069856    0    0 73288    26 8137 48585  2  3 54 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 19  76428 1961252 241008 2068576    0    0 11432     0 3784 21207  1  1 58 40  0
 0 20  76428 1959368 241008 2069384    0    0 12912     0 4100 22761  2  1 61 36  0
 0 19  76428 1958624 241008 2070164    0    0 16784     0 5590 30637  2  1 59 38  0
