procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 25 138892 419204 198176 2197368    0  188 19700   199 22827 47550  2  4 56 38  0
 1 24 138892 411808 198176 2236576    0    0 17912     3 8722 45148  1  3 54 42  0
 0 12 138892 411772 198176 2255324    0    0  5152     0 2801 14080  0  0 55 44  0
 1  4 138892 414684 198184 2255400    0    0   924    24  465 1381  0  1 75 24  0
 0  4 138924 422636 198184 2255296    0   32   144    38 18115  740  1  3 83 13  0
 0  3 138920 418924 198184 2255388    0    0  1448    20  767 2147  1  1 88 10  0
 0  3 138920 419056 198184 2255452    0    0  1144     0  400 1334  0  0 90 10  0
 0  3 138920 414644 198184 2255456    0    0  1096     0  411 1431  0  0 88 12  0
 0  3 138920 407216 198188 2255604    0    0  2452    40  855 2870  0  0 93  7  0
 0  3 138920 398284 198188 2255672    0    0  3096     0  887 3009  0  0 94  6  0
 0  3 138920 309180 198188 2253828    0    0 374992   132 16660 85371  0  5 83 11  0
 1  3 138920 1355284 198188 2483060    0    0 169540     0 6752 16509  0 20 70  9  0
 0  3 138920 1270492 198188 2525420    0    0 169128     0 9337 31240  0  2 86 12  0
 0  3 138920 1106868 198188 2585008    0    0 154056    56 7999 23427  0  1 87 12  0
 0  3 138920 946812 198188 2642924    0    0 164260     0 9069 30572  0  1 87 12  0
 0  3 138920 901516 198188 2656360    0    0 170488    40 8268 21644  0  1 87 13  0
 0  3 138920 839244 198188 2691800    0    0 156904     0 8096 24582  0  1 87 12  0
 0  3 138920 862412 198188 2669584    0    0 135884     0 11235 49677  0  2 89 10  0
 0  3 138920 877160 198188 2652304    0    0 159144    20 11336 48763  0  2 86 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 138920 904428 198188 2625612    0    0 173300     0 11738 60170  0  3 84 12  0
 0  3 138920 960900 198188 2567248    0    0 186296     0 12346 64223  0  3 85 12  0
 0  3 138920 1020256 198188 2503940    0    0 198988     0 12499 65808  0  3 85 12  0
 0  3 138920 1073032 198188 2440564    0    0 180228     0 12014 61714  0  2 85 12  0
 0  3 138920 1109976 198188 2387088    0    0 185360    20 11826 59725  0  3 84 12  0
 0  3 138920 1138168 198188 2344764    0    0 169180     0 11338 55693  0  3 85 12  0
 0  3 138920 1208844 198188 2259532    0    0 174376   132 11727 62479  0  3 84 12  0
 0  3 138920 1294260 198188 2163700    0    0 192720     0 12304 67264  0  4 87  9  0
 0  3 138920 1379948 198188 2063200    0    0 190552     0 12268 65429  0  3 89  8  0
 0  3 138920 1543144 198192 1907404    0    0 190260    32 12386 66515  0  3 88  8  0
 0  3 138920 1626284 198192 1829716    0    0 162848     0 11479 57132  0  3 88  8  0
 0  3 138920 1770788 198192 1710712    0    0 198300     0 12315 67963  0  3 89  8  0
 0  3 138920 1984972 198192 1566728    0    0 213688     0 12490 70831  0  4 86  9  0
 0  4 138920 2221028 198192 1448776    0    0 181212     0 11667 66164  0  3 84 13  0
 1  4 138920 2231532 198196 1437000    0    0   248    24  499 1471  0  0 83 17  0
 0  4 138920 2495160 198196 1370248    0    0 163408     0 7329 47138  0  3 82 14  0
 0 21 138920 2720656 198196 1311424    0    0 178524     0 13536 84652  1  5 67 27  0
 6 19 138904 2712196 198196 1323248    0    0 73408     0 10130 62175  1  3 46 50  0
 1 13 138904 2766768 198196 1329620    0    0 202916     0 11040 59004  0  4 56 39  0
 0 24 138904 2760564 198196 1317772    0    0 135320    56 7363 29956  0  2 59 39  0
 0 24 138900 2763320 198196 1311160    0    0 161516     0 12410 81726  0  4 44 52  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 13 138900 2801240 198196 1313308    0    0 63124    24 6912 35736  1  4 52 44  0
 0 21 138900 2808856 198196 1309188    0    0 177360     0 13331 75556  1  5 48 46  0
 0 16 138900 2839148 198196 1317240    0    0 100940     0 7631 39792  0  3 51 46  0
 0 19 138900 2805248 198200 1314952    0    0 142416    48 7994 35549  0  2 55 43  0
 1 22 138900 2780460 198200 1315004    0    0 132340     0 12190 71783  1  4 45 51  0
11 14 138900 2825140 198200 1319112    0    0 122444   120 9209 34936  1  5 52 42  0
 1 22 138900 2796400 198200 1313500    0    0 169612     0 10582 50903  1  7 52 40  0
 1 18 138900 2790432 198200 1327968    0    0 148412     0 12719 69319  2  9 54 36  0
 0 21 138900 2732484 198200 1331912    0    0 149728    32 9590 40711  1  4 55 40  0
 0 21 138892 2673120 198200 1340468    8    0 166736     0 12363 70396  1  4 40 55  0
 1 20 138892 2706036 198200 1357764    0    0 141340    68 8754 39898  1  5 43 51  0
 1 18 138892 2621496 198200 1364708    0    0 150744     0 10573 42231  2  6 52 41  0
 0 22 138892 2593548 198200 1360252    0    0 150656     0 10577 42641  1  5 51 43  0
 0 18 138892 2565644 198200 1351148    0    0 159504    20 10280 39254  1  4 52 44  0
 0 23 138888 2528148 198200 1356276    4    0 146400     0 11211 56952  0  3 49 48  0
 0 19 138888 2529960 198200 1357436    0    0  7560   132 3917 19027  0  1 52 47  0
 1 18 138884 2618180 198200 1377452    0    0 218164     0 13291 53197  1  9 51 39  0
 1 22 138884 2581372 198200 1372480    0    0 149412     0 10376 42943  1  5 55 38  0
 1 18 138884 2558520 198200 1362840    0    0 165068    32 10907 44913  1  6 52 41  0
 1 15 138880 2546428 198200 1346944    0    0 166340     0 11106 46761  1  6 51 41  0
 0 23 138880 2532612 198200 1334048    0    0 114336     0 10178 65127  2  5 49 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 20 138880 2521572 198200 1340988    0    0 18076     0 5961 33481  1  1 41 57  0
 1 20 138880 2602956 198200 1347092    0    0 243120     0 13202 66790  1  8 47 44  0
 0 18 138880 2589188 198200 1338576    0    0 135020    28 10042 35169  0  3 52 45  0
 1 24 138880 2590228 198200 1332452    0    0 153104     0 21613 57748  2  6 48 45  0
 0 20 138880 2682140 198200 1342156    0    0 150712    10 10435 49393  1  5 44 50  0
 1 15 138880 2658124 198200 1345956    0    0 140996     0 7513 32972  1  4 48 47  0
 0 14 138880 2617524 198200 1341456    0    0 190508     0 8725 42593  1  5 51 43  0
 0 12 138880 2585196 198204 1339364    0    0 118572    28 7059 32707  0  2 53 45  0
 2 19 138872 2368012 198204 1402292    0    0 65888     0 9137 63686  1  4 55 39  0
23 16 138872 2432040 198204 1451496    0    0 226320    12 13849 74450  2 10 49 39  0
 6 19 138872 2341664 198204 1483108    0    0 126376     0 8214 29691  1  6 56 37  0
 2 19 138872 2299512 198204 1479348    0    0 183096     0 11221 54403  1  6 50 43  0
 0 10 138872 2278636 198204 1466744    0    0 125236    20 6853 34809  0  2 65 32  0
 1 22 138872 2251688 198204 1433348    0    0 244528     0 14327 65787  1  7 61 31  0
 0 26 138872 2227224 198208 1414440    0    0 191456    16 12733 72343  1  7 50 42  0
 0 17 138872 2226596 198208 1410096    0    0 172080     0 8299 26747  0  1 58 41  0
 0 19 138872 2380176 198208 1427536    0    0 174608     0 9575 32524  0  6 49 45  0
 0 25 138872 2308316 198212 1437012    0    0 167504    44 9573 45520  0  2 51 46  0
 6 19 138872 2270520 198212 1431448    0    0 185424     0 9954 46630  0  2 37 61  0
 1 16 138872 2259792 198216 1423960    0    0 168596   120 9136 30328  1  5 55 39  0
 1 10 138868 2204600 198216 1424944    0    0 130412     0 9182 41716  1  5 58 36  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 20 138868 2161360 198216 1425884    0    0 201768     0 7736 39126  1  4 59 37  0
 0 21 138868 2027028 198216 1465212    0    0 167536    56 10878 66872  0  4 48 48  0
 1 19 138868 1869320 198216 1508268    0    0 156064     0 7327 33345  1  5 48 46  0
