procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142832 2498712 169272 1243916    0    0 24584    56 2297 13239  1  1 64 35  0
 1 15 142832 2505296 169272 1238636    0    0 144728     0 8378 56530  1  4 66 30  0
 1 15 142832 2488576 169272 1245812    0    0 26104     0 2895 17167  1  1 65 34  0
 1 15 142832 2498376 169272 1241044    0    0 145952     0 8180 57243  0  3 55 41  0
 2 14 142832 2505648 169272 1238324    0    0 142328     0 7521 56985  0  3 55 42  0
 3 15 142832 2490500 169272 1245580    0    0 26264    20 3111 17602  1  1 56 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142832 2498748 169272 1240684    0    0 147376     0 8415 58452  0  3 60 37  0
 0 16 142832 2507176 169272 1237056    0    0 144096     0 7340 56309  1  4 59 37  0
 0 16 142832 2490476 169272 1244648    0    0 28312     0 3515 21446  2  1 60 38  0
 0 16 142832 2497768 169272 1241744    0    0 143184     0 8262 56223  1  3 50 47  0
 0 16 142832 2507332 169276 1238164    0    0 166972    20 9278 68892  0  3 64 33  0
 0 16 142832 2493364 169276 1244276    0    0 25344     0 2410 15183  1  1 70 28  0
 1 15 142832 2501204 169276 1238240    0    0 144908     0 8064 58745  1  3 54 43  0
 0 16 142832 2481648 169276 1247624    0    0 26040     0 3170 15214  1  1 58 40  0
 0 16 142832 2497272 169276 1240716    0    0 144376     0 8740 59837  1  3 67 29  0
 2 15 142832 2503452 169284 1237964    0    0 149000    28 8837 57660  0  3 60 37  0
 0 16 142832 2487432 169284 1245664    0    0 24296     0 2451 13167  1  1 62 37  0
 0 16 142832 2488792 169284 1242188    0    0 146320    12 8788 57336  0  3 65 32  0
 0 16 142832 2495472 169284 1238680    0    0 143688     0 7568 53172  0  3 68 29  0
 1 15 142832 2480164 169284 1245856    0    0 24408     0 2506 13464  1  1 69 30  0
 0 16 142832 2489600 169284 1241304    0    0 147488    28 8433 61601  1  3 70 26  0
 0 16 142832 2495780 169284 1239356    0    0 145464     0 7892 54215  0  3 61 36  0
 0 16 142832 2492996 169284 1238080    0    0 158320     0 8331 58072  0  3 58 39  0
 0 16 142832 2476988 169284 1244472    0    0 24448     0 2265 13287  1  1 63 36  0
 4 13 142832 2490016 169284 1239028    0    0 145792     0 8193 60692  1  3 59 37  0
 0 16 142832 2496968 169292 1236756    0    0 142556    20 7578 53822  0  3 68 29  0
 0 16 142832 2482624 169292 1243544    0    0 26168     0 3169 18012  1  1 66 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142832 2495728 169292 1239400    0    0 143096     0 7997 56434  0  3 65 32  0
 1 17 142832 2501908 169292 1236092    0    0 140516     0 7720 51650  0  3 63 33  0
 1 15 142832 2489348 169292 1243644    0    0 27224     0 3399 17896  1  1 66 32  0
 0 16 142832 2488772 169292 1239176    0    0 165000    20 8811 62980  0  3 59 38  0
 0 16 142828 2496836 169292 1236300    0    0 142968     0 7119 53358  0  3 67 30  0
 0 16 142828 2479868 169296 1243256    0    0 25768   280 2738 15791  1  1 64 34  0
 1 15 142828 2489908 169296 1238744    0    0 145856     0 7899 58242  1  4 56 40  0
 0 16 142828 2497112 169296 1236908    0    0 144808     0 7323 52973  0  3 57 40  0
 1 15 142828 2479820 169300 1244664    0    0 26776    64 3068 18211  1  1 62 35  0
 0 16 142828 2487116 169300 1241036    0    0 144936     0 7824 57560  1  3 66 31  0
 2 15 142828 2492744 169300 1238276    0    0 147080     0 8473 57219  1  3 64 33  0
 0 16 142828 2474960 169300 1246480    0    0 26976     0 3154 18774  1  1 62 36  0
 1 15 142828 2485004 169300 1241660    0    0 145628     0 7931 56941  1  3 53 43  0
 0 16 142828 2492228 169304 1238932    0    0 144192    24 7500 57763  0  3 63 33  0
 3 14 142828 2477244 169304 1245368    0    0 26104     0 2909 16082  1  1 64 34  0
 2 14 142828 2488220 169304 1239852    0    0 159760     0 8970 62773  1  3 56 40  0
 0 16 142828 2495236 169304 1237848    0    0 142336     0 7785 53367  0  3 56 41  0
 1 15 142828 2479744 169304 1244568    0    0 26256     0 2883 17742  1  1 64 34  0
 1 16 142828 2487172 169308 1240432    0    0 142504    28 7783 55870  0  3 70 26  0
 2 16 142828 2495520 169308 1237368    0    0 147240     0 8946 60732  0  3 62 35  0
 1 16 142828 2479064 169308 1245188    0    0 24808    12 2648 14708  1  1 59 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142828 2484144 169308 1241576    0    0 146400     0 8793 60996  0  3 58 39  0
 1 15 142828 2487980 169308 1239688    0    0 144360     0 8136 58139  0  3 64 33  0
 4 14 142828 2472548 169312 1246336    0    0 25728    28 2778 16852  1  1 63 35  0
 2 16 142828 2488692 169312 1239796    0    0 148448     0 8906 61915  0  3 60 37  0
 2 16 142828 2493532 169312 1239472    0    0 146240    12 7947 58052  0  3 65 31  0
 3 14 142828 2478896 169312 1245652    0    0 26288     0 2883 17387  1  1 66 32  0
 2 16 142828 2488460 169312 1239904    0    0 144324     0 7707 53641  0  3 56 41  0
 2 16 142828 2490348 169320 1239708    0    0 145784    20 8046 56064  1  3 59 37  0
 2 16 142828 2494248 169320 1235180    0    0 144776     0 8289 55196  0  3 55 41  0
 2 15 142828 2476844 169320 1243592    0    0 25872     0 2627 16344  1  1 58 40  0
 2 15 142828 2487416 169320 1240372    0    0 144456     0 8307 57835  0  3 60 37  0
 2 16 142828 2471500 169320 1247064    0    0 26744     0 3247 18446  1  1 56 41  0
 3 16 142828 2481088 169328 1242528    0    0 159576    20 9089 60796  0  3 68 29  0
 2 16 142828 2486524 169328 1238968    0    0 143912     0 9018 56246  0  2 60 37  0
52 14 142828 2483948 169328 1245784    0    0 27424     0 2250 14069  1  1 70 29  0
 2 15 142828 2468028 169328 1244228    0    0 145760     0 8603 60621  0  3 57 39  0
 0 17 142828 2476096 169328 1240740    0    0 145192     0 8602 58162  0  3 56 40  0
50 14 142828 2478872 169336 1248500    0    0 30764    20 3228 17914  1  1 60 38  0
 2 17 142828 2468640 169336 1244772    0    0 144276     0 8997 58808  0  3 58 39  0
 0 17 142828 2479500 169340 1239004    0    0 161404   284 9376 61542  0  3 57 40  0
42 16 142828 2482208 169340 1247660    0    0 29296     0 2690 14026  1  1 64 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 17 142828 2470692 169340 1243428    0    0 142620     0 8836 58008  0  3 54 43  0
 0 17 142828 2475980 169344 1238112    0    0 141812    80 8497 55958  0  2 52 45  0
 1 17 142828 2479512 169344 1237768    0    0 144808     0 9465 56182  0  2 57 40  0
 1 16 142828 2467664 169344 1244032    0    0 22936     0 1623 10311  1  1 59 40  0
 0 17 142828 2472588 169344 1242100    0    0 142968     0 8212 57009  0  3 49 47  0
 1 17 142828 2478728 169344 1238916    0    0 144572     0 8983 57229  0  4 55 41  0
 5 16 142828 2488624 169348 1246256    0    0 27688    28 2567 13880  1  1 60 38  0
 1 17 142828 2468784 169348 1243144    0    0 141084     0 7786 53352  0  2 56 41  0
 1 16 142828 2475028 169348 1240056    0    0 142808     0 8908 56631  0  3 63 33  0
 0 17 142828 2478992 169348 1237180    0    0 145440     0 9638 57935  0  3 64 33  0
 2 16 142828 2468232 169348 1245152    0    0 26624     0 2651 15341  1  1 66 32  0
 2 16 142828 2474988 169352 1242464    0    0 144884    20 8768 60053  0  3 60 36  0
 0 17 142828 2478704 169352 1238780    0    0 143896     0 8621 55538  0  3 57 40  0
 0 17 142828 2484244 169352 1235868    0    0 142584     0 9291 58406  0  3 59 38  0
 2 16 142828 2471432 169352 1243248    0    0 24552     0 2050 11336  0  1 62 37  0
 2 16 142828 2473344 169352 1240992    0    0 143368     0 7757 51917  0  3 62 36  0
 1 17 142828 2480376 169356 1238656    0    0 143600    20 7507 53998  0  3 62 35  0
 0 17 142828 2461764 169356 1247296    0    0 27344     0 3240 19445  1  1 63 35  0
 1 17 142828 2477316 169356 1242780    0    0 144392     0 8128 55117  0  3 58 38  0
 1 17 142828 2484044 169356 1239936    0    0 156672     0 8501 58071  0  2 61 37  0
 7 15 142828 2491948 169356 1246996    0    0 31300     0 3114 16502  1  1 64 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 17 142828 2472096 169364 1242952    0    0 139736    20 8227 59710  0  2 54 43  0
 0 17 142828 2475860 169364 1240932    0    0 144672     0 8137 55179  0  3 59 38  0
 1 16 142828 2474664 169364 1237040    0    0 144144     0 8397 54007  0  3 61 36  0
 7 18 142828 2481188 169364 1245400    0    0 35400     0 2870 16145  1  2 63 35  0
 1 18 142828 2458160 169364 1243916    0    0 120160     0 5723 40836  0  2 61 37  0
 0 17 142828 2468496 169372 1243012    0    0 187780    20 11034 82544  0  4 58 38  0
 1 17 142828 2474748 169372 1237784    0    0 162948     0 10092 62609  0  4 58 38  0
 3 16 142828 2460768 169372 1245380    0    0 25584    16 2504 14493  1  1 61 37  0
 1 17 142828 2468648 169372 1241196    0    0 147464     0 8579 61021  0  4 65 31  0
 1 16 142828 2477296 169372 1239060    0    0 141184     0 7568 53925  0  3 59 38  0
29 17 142828 2481828 169376 1247856    0    0 31708    44 3475 21392  1  1 62 35  0
 2 15 142828 2467148 169376 1243464    0    0 143016     0 8330 56411  1  3 60 36  0
 1 16 142828 2472044 169376 1241988    0    0 148216   291 8624 59407  0  3 65 32  0
19 17 142828 2476288 169376 1248788    0    0 40516     1 3668 22016  1  1 69 28  0
 3 15 142828 2467488 169376 1244888    0    0 129572     0 6760 49963  0  2 66 32  0
 1 16 142828 2473020 169376 1242168    0    0 143996    88 7743 55586  0  3 54 42  0
 2 16 142828 2476348 169376 1240240    0    0 142344     0 7658 50751  0  3 60 36  0
 1 18 142828 2479868 169376 1247548    0    0 43920     0 3740 20688  1  1 63 34  0
 3 16 142828 2465572 169376 1244604    0    0 128336     0 7184 51364  0  3 74 23  0
 1 16 142828 2471480 169376 1242292    0    0 143112     0 7664 53205  0  3 72 25  0
 2 17 142828 2474216 169376 1239804    0    0 144244    20 7438 54302  0  3 72 24  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 17 142828 2456060 169376 1247668    0    0 28984     0 3282 18957  1  1 72 26  0
 1 17 142828 2465680 169376 1242648    0    0 140652     0 7625 57882  0  4 60 36  0
